,reaction time (sec),,reaction time (sec),,,,,
Wavelength (nm),0,Wavelength (nm),60,120,180,240,300,360
379.05713,1.42926,378.06329,0.98932,0.55654,0.25174,0.10091,0.05107,0.04502
377.97195,1.44008,376.97784,0.97855,0.5501,0.2438,0.09865,0.04884,0.03709
377.04169,1.40923,376.04733,0.94903,0.5314,0.23653,0.09759,0.04623,0.04705
375.95621,1.37966,374.96155,0.9238,0.51563,0.2361,0.09264,0.0496,0.04097
375.02567,1.33819,374.03076,0.9225,0.50781,0.22704,0.09439,0.04944,0.04603
373.93985,1.33383,372.94464,0.88731,0.49236,0.22628,0.09031,0.04727,0.03913
373.009,1.27739,372.01358,0.86838,0.48083,0.22218,0.09211,0.0449,0.0475
371.92288,1.23913,370.92712,0.80854,0.46741,0.21224,0.08919,0.04583,0.04938
370.99176,1.23354,369.99579,0.81847,0.45828,0.20716,0.08707,0.05155,0.04456
370.06052,1.16322,369.06427,0.79744,0.44558,0.20373,0.09253,0.04794,0.04483
368.97391,1.18173,367.97739,0.78548,0.43899,0.20501,0.09078,0.0473,0.04565
368.04239,1.12061,367.04562,0.76576,0.42363,0.19369,0.0866,0.04723,0.04661
366.95544,1.10427,365.95837,0.75004,0.41377,0.18839,0.08452,0.05005,0.04494
366.02365,1.04197,365.02634,0.7216,0.40396,0.1897,0.07748,0.04929,0.04377
364.9364,1.01554,363.93878,0.70594,0.39522,0.17897,0.0739,0.04533,0.04198
364.0043,0.99198,363.00647,0.66597,0.37999,0.17251,0.0771,0.04548,0.04112
363.07211,0.95805,362.07404,0.65565,0.37479,0.17004,0.07757,0.05038,0.04624
361.98441,0.93528,360.98602,0.63983,0.35168,0.16393,0.07616,0.0505,0.04618
361.05191,0.89516,360.05331,0.61326,0.34771,0.16267,0.07656,0.05166,0.04274
359.9639,0.86725,358.96497,0.59839,0.34321,0.15373,0.07268,0.0465,0.04237
359.03113,0.84213,358.03198,0.5779,0.33486,0.15934,0.07392,0.04955,0.04763
357.94278,0.81327,356.94336,0.55559,0.31836,0.15529,0.06808,0.04767,0.04495
357.00977,0.78133,356.0101,0.54339,0.30526,0.14074,0.06714,0.05314,0.04452
356.07663,0.76226,355.07672,0.53942,0.29694,0.13971,0.0659,0.04683,0.042
354.98782,0.73408,353.98761,0.50324,0.29454,0.13968,0.07126,0.04677,0.04648
354.05444,0.71579,353.05399,0.49083,0.29072,0.13425,0.07118,0.04722,0.0462
352.9653,0.68539,351.96457,0.47009,0.26462,0.12982,0.06181,0.04807,0.04349
352.03165,0.65257,351.03064,0.44546,0.26552,0.13254,0.0681,0.05308,0.04795
350.9422,0.63161,349.94095,0.4459,0.25628,0.12174,0.06329,0.04469,0.04235
350.00827,0.606,349.00677,0.43967,0.24767,0.12391,0.0645,0.05142,0.04965
349.07422,0.58814,348.07248,0.41771,0.24534,0.12104,0.06345,0.05078,0.04377
347.98434,0.5679,346.9823,0.39567,0.22867,0.11628,0.06303,0.05105,0.04908
347.05002,0.54426,346.04776,0.38517,0.23116,0.11198,0.06151,0.05232,0.04625
345.95984,0.52001,344.95728,0.37718,0.22096,0.11208,0.06085,0.05456,0.05003
345.02527,0.50236,344.02246,0.36624,0.21755,0.11711,0.0644,0.05402,0.05129
343.93478,0.48466,342.9317,0.34778,0.20995,0.11255,0.06703,0.05521,0.05236
342.99994,0.46324,341.99661,0.33733,0.20631,0.10923,0.06594,0.06243,0.05635
342.065,0.44732,341.06143,0.3334,0.19399,0.10889,0.07004,0.06282,0.05792
340.97406,0.4262,339.97021,0.30921,0.19897,0.1089,0.06687,0.06216,0.05828
340.03885,0.40895,339.03476,0.30279,0.19144,0.10421,0.07535,0.06736,0.05676
338.94763,0.39808,337.94327,0.29684,0.19564,0.11185,0.07363,0.06928,0.06226
338.01218,0.38486,337.00757,0.28437,0.18448,0.11456,0.07854,0.07552,0.06738
337.0766,0.36577,336.07175,0.27322,0.1855,0.11729,0.07996,0.07477,0.06794
335.98492,0.35024,334.9798,0.26693,0.1868,0.12184,0.08841,0.08151,0.07487
335.0491,0.33167,334.04373,0.26335,0.18151,0.12372,0.09896,0.08518,0.07607
333.95715,0.31942,332.95151,0.24849,0.18433,0.13001,0.10163,0.09384,0.08445
333.02106,0.30551,332.01517,0.24461,0.18721,0.13658,0.10901,0.10114,0.09488
331.92883,0.28987,330.92267,0.23692,0.18551,0.13814,0.11372,0.11117,0.09835
330.99249,0.27979,329.98608,0.23084,0.19641,0.1519,0.12925,0.11718,0.10189
330.05603,0.26506,329.04941,0.22924,0.19871,0.16378,0.13557,0.12837,0.11087
328.96338,0.25285,327.95645,0.21891,0.20442,0.16221,0.14826,0.13845,0.11737
328.02667,0.2454,327.01953,0.21372,0.20891,0.18581,0.16455,0.14907,0.13032
326.93372,0.23368,325.9263,0.20907,0.21513,0.19976,0.1802,0.16377,0.14556
325.99677,0.22293,324.98911,0.20461,0.22929,0.21526,0.19839,0.18085,0.15274
325.05972,0.21306,324.05182,0.20355,0.23425,0.2296,0.21043,0.18926,0.16404
323.96634,0.20666,322.95816,0.20287,0.24739,0.24905,0.23494,0.20792,0.18089
323.02905,0.19669,322.02063,0.1977,0.25439,0.27388,0.25977,0.22432,0.18931
321.93539,0.18838,320.9267,0.19197,0.27596,0.30241,0.28446,0.24641,0.20509
320.99786,0.17588,319.98892,0.19125,0.28617,0.31739,0.30663,0.26002,0.21678
320.06021,0.1713,319.05103,0.18628,0.29636,0.33184,0.32155,0.28009,0.23117
318.96613,0.16207,317.9567,0.18708,0.31544,0.34992,0.34199,0.29321,0.24694
318.02823,0.15669,317.01859,0.19059,0.32547,0.38208,0.36154,0.31527,0.25968
316.9339,0.14938,315.92395,0.18697,0.33794,0.39895,0.38281,0.33221,0.27429
315.99576,0.14106,314.9856,0.18489,0.35105,0.41861,0.39953,0.34606,0.28836
315.05753,0.13654,314.04712,0.18469,0.35806,0.41107,0.41248,0.3604,0.29498
313.96277,0.13249,312.95209,0.18514,0.3644,0.43554,0.43368,0.37272,0.30926
313.02429,0.12734,312.01337,0.1865,0.37297,0.44524,0.435,0.38638,0.32029
311.92926,0.12222,311.07455,0.18433,0.38247,0.45689,0.44958,0.38924,0.33575
310.99054,0.11734,309.97913,0.18474,0.38893,0.47035,0.46101,0.4036,0.33934
310.05173,0.11199,309.04007,0.18889,0.38695,0.46721,0.45984,0.41009,0.35078
308.9563,0.10866,307.9444,0.1867,0.39321,0.47638,0.47191,0.42487,0.35941
308.01727,0.10528,307.0051,0.19154,0.39732,0.48238,0.47971,0.4306,0.3682
307.07809,0.10036,306.0657,0.19359,0.39954,0.4894,0.48526,0.43469,0.37694
305.98227,0.0994,304.96963,0.19773,0.40703,0.49189,0.48214,0.44007,0.37952
305.04291,0.0952,304.03,0.19989,0.40301,0.49055,0.48515,0.44165,0.3794
303.94681,0.09592,302.93365,0.2029,0.40896,0.48784,0.48875,0.4407,0.38612
303.0072,0.09424,301.9938,0.2074,0.40648,0.48972,0.49132,0.4461,0.39242
302.06747,0.09393,301.05386,0.21193,0.40791,0.49127,0.48804,0.44708,0.39476
300.97098,0.09399,299.95712,0.21249,0.40403,0.49223,0.48466,0.4497,0.39835
300.03104,0.09442,299.01694,0.21593,0.40533,0.48384,0.48566,0.44496,0.39744
298.9343,0.09311,298.07666,0.22139,0.40469,0.4853,0.48516,0.4472,0.39787
297.99414,0.09294,296.97952,0.22504,0.40362,0.48509,0.48554,0.44735,0.40018
297.05386,0.09359,296.039,0.2286,0.40467,0.47792,0.481,0.44616,0.40025
295.95673,0.09213,294.94162,0.23202,0.40616,0.47868,0.47368,0.44745,0.39917
295.01624,0.09328,294.00092,0.23443,0.40212,0.47171,0.47899,0.4448,0.39772
294.07562,0.09429,293.06006,0.23856,0.39898,0.46122,0.46394,0.43195,0.39313
292.97815,0.09346,291.96231,0.24209,0.39465,0.45702,0.45316,0.42882,0.38728
292.03732,0.09383,291.02127,0.24617,0.39269,0.45261,0.45028,0.425,0.38351
290.93958,0.09495,289.92325,0.24822,0.38456,0.44356,0.44143,0.42024,0.38252
289.9985,0.09562,288.98196,0.25111,0.38363,0.44127,0.43618,0.41607,0.3781
289.05737,0.09649,288.04062,0.25466,0.38149,0.43351,0.42892,0.40613,0.36884
287.95926,0.09482,286.94223,0.25618,0.37858,0.42336,0.41902,0.40235,0.3669
287.01788,0.09514,286.00064,0.25539,0.37569,0.4199,0.41763,0.39362,0.35975
286.07645,0.09671,285.05896,0.25912,0.37465,0.41327,0.40477,0.39304,0.359
284.97794,0.09637,283.96021,0.26113,0.36706,0.40483,0.40222,0.38678,0.35741
284.03629,0.09737,283.01831,0.26239,0.36197,0.40276,0.39417,0.37718,0.34718
282.93753,0.09696,282.07629,0.26721,0.36335,0.39988,0.3921,0.37252,0.33949
281.99564,0.10054,280.97717,0.27029,0.36198,0.39457,0.38956,0.36883,0.34352
281.05365,0.10442,280.03497,0.27429,0.36307,0.38985,0.38523,0.36621,0.34128
279.95456,0.10914,278.93561,0.27961,0.36264,0.39073,0.38009,0.36463,0.33811
279.01236,0.11166,277.99319,0.28599,0.3634,0.38565,0.37723,0.35947,0.33452
278.07007,0.11979,277.05069,0.29442,0.36819,0.38895,0.37962,0.35914,0.33157
276.97061,0.12782,275.95096,0.30425,0.37124,0.38669,0.37798,0.35667,0.33637
276.02811,0.13719,275.00824,0.31006,0.37539,0.39121,0.37094,0.35556,0.32719
274.92841,0.14872,274.06543,0.31796,0.37923,0.38998,0.37662,0.35066,0.33293
273.98572,0.15589,272.96536,0.33144,0.38971,0.39891,0.37544,0.35845,0.33256
273.04291,0.16749,272.02234,0.34719,0.39673,0.40162,0.38495,0.36278,0.33621
271.94287,0.18459,270.92203,0.35253,0.40333,0.40535,0.38277,0.36718,0.34082
270.99985,0.19575,269.97879,0.36828,0.40493,0.41329,0.38641,0.3714,0.34154
270.05676,0.21247,269.03546,0.37472,0.41101,0.41396,0.38477,0.36722,0.33913
268.95636,0.21982,267.93481,0.38862,0.42796,0.41631,0.3934,0.37074,0.34667
268.01306,0.23417,266.99127,0.40386,0.43064,0.4215,0.402,0.3717,0.347
267.06967,0.24654,266.04767,0.41085,0.43616,0.42687,0.39521,0.38013,0.35167
265.9689,0.26198,264.94669,0.41643,0.44306,0.43284,0.40153,0.38175,0.3512
265.02533,0.26779,264.00287,0.42597,0.45056,0.43078,0.40295,0.3834,0.35653
263.92435,0.27711,263.05896,0.43471,0.44868,0.43135,0.40377,0.38282,0.36073
262.98056,0.28497,261.95761,0.44481,0.45664,0.43675,0.41198,0.39,0.36612
262.03668,0.29141,261.01352,0.45292,0.45893,0.43994,0.41049,0.39419,0.36818
260.93536,0.29829,260.06931,0.45544,0.46223,0.44377,0.41712,0.39969,0.38155
259.99127,0.3056,258.96765,0.4582,0.46333,0.44548,0.42096,0.4045,0.38603
259.04712,0.30987,258.02325,0.46215,0.46652,0.44795,0.42237,0.41396,0.39307
257.94547,0.3135,256.92136,0.47266,0.46843,0.45657,0.42953,0.42055,0.39952
257.0011,0.32033,255.97678,0.4716,0.47723,0.45147,0.4322,0.42754,0.4078
256.05664,0.32321,255.0321,0.48378,0.47742,0.45782,0.43667,0.43037,0.41491
254.95467,0.3282,253.92987,0.48958,0.48444,0.46211,0.44561,0.44119,0.42532
254.01003,0.3335,252.98502,0.49224,0.48735,0.47346,0.45715,0.45085,0.43649
253.06529,0.34037,252.04005,0.50265,0.49735,0.47692,0.46571,0.46709,0.45906
251.963,0.35164,250.93752,0.51788,0.50433,0.48489,0.47555,0.47604,0.46843
251.01807,0.36489,,,,,,,
250.07306,0.37572,,,,,,,
